0,"GRUNTY"
01,"UŻYTKI ROLNE"
010,"Grunty orne"
011,"Sady"
012,"Łąki trwałe"
013,"Pastwiska trwałe"
014,"Grunty rolne zabudowane"
015,"Grunty pod stawami"
016,"Grunty pod rowami"
02,"GRUNTY LEŚNE"
020,"Lasy"
021,"Grunty zadrzewione i zakrzewione"
03,"GRUNTY ZABUDOWANE I ZURBANIZOWANE"
030,"Tereny mieszkaniowe"
031,"Tereny przemysłowe"
032,"Inne tereny zabudowane"
033,"Zurbanizowane tereny niezabudowane"
034,"Tereny rekreacyjno-wypoczynkowe"
035,"Użytki kopalne"
036,"Tereny komunikacyjne"
04,"UŻYTKI EKOLOGICZNE"
040,"Użytki ekologiczne"
05,"TERENY RÓŻNE"
050,"Tereny różne"
06,"NIEUŻYTKI"
060,"Nieużytki"
07,"GRUNTY POD WODAMI"
070,"Grunty pod wodami, z wyłączeniem gruntów pod wodami powstałych w wyniku użytkowania urządzeń melioracji wodnych"
071,"Grunty pod wodami powstałe w wyniku użytkowania urządzeń melioracji wodnych"
1,"BUDYNKI I LOKALE ORAZ SPÓŁDZIELCZE PRAWO DO LOKALU UŻYTKOWEGO I SPÓŁDZIELCZE WŁASNOŚCIOWE PRAWO DO LOKALU MIESZKALNEGO"
10,"BUDYNKI NIEMIESZKALNE"
101,"Budynki przemysłowe"
102,"Budynki transportu i łączności"
103,"Budynki handlowo-usługowe"
104,"Zbiorniki, silosy i budynki magazynowe"
105,"Budynki biurowe"
106,"Budynki szpitali i inne budynki opieki zdrowotnej"
107,"Budynki oświaty, nauki i kultury oraz budynki sportowe"
108,"Budynki produkcyjne, usługowe i gospodarcze dla rolnictwa"
109,"Pozostałe budynki niemieszkalne"
11,"BUDYNKI MIESZKALNE"
110,"Budynki mieszkalne"
12,"LOKALE, SPÓŁDZIELCZE PRAWO DO LOKALU UŻYTKOWEGO ORAZ SPÓŁDZIELCZE WŁASNOŚCIOWE PRAWO DO LOKALU MIESZKALNEGO"
121,"Lokale niemieszkalne, spółdzielcze prawo do lokalu użytkowego"
122,"Lokale mieszkalne, spółdzielcze własnościowe prawo do lokalu mieszkalnego"
2,"OBIEKTY INŻYNIERII LĄDOWEJ I WODNEJ"
20,"KOMPLEKSOWE BUDOWLE NA TERENACH PRZEMYSŁOWYCH"
200,"Budowle dla górnictwa i kopalnictwa"
201,"Budowle na terenach elektrowni"
202,"Budowle na terenach zakładów chemicznych"
203,"Budowle na terenach zakładów przemysłu ciężkiego, gdzie indziej niesklasyfikowane"
21,"RUROCIĄGI, LINIE TELEKOMUNIKACYJNE I ELEKTROENERGETYCZNE"
210,"Rurociągi, linie telekomunikacyjne i elektroenergetyczne, przesyłowe"
211,"Rurociągi sieci rozdzielczej oraz linie telekomunikacyjne i elektroenergetyczne, rozdzielcze"
22,"INFRASTRUKTURA TRANSPORTU"
220,"Autostrady, drogi ekspresowe, ulice i drogi pozostałe"
221,"Drogi szynowe, drogi kolei napowietrznych lub podwieszanych"
222,"Drogi lotniskowe"
223,"Mosty, wiadukty, estakady, tunele, przejścia nadziemne i podziemne"
224,"Budowle wodne, z wyłączeniem melioracji wodnych"
225,"Melioracje wodne podstawowe"
226,"Melioracje wodne szczegółowe"
29,"POZOSTAŁE OBIEKTY INŻYNIERII LĄDOWEJ I WODNEJ"
290,"Budowle sportowe i rekreacyjne"
291,"Pozostałe obiekty inżynierii lądowej i wodnej, gdzie indziej niesklasyfikowane"
3,"KOTŁY I MASZYNY ENERGETYCZNE"
31,"KOTŁY GRZEWCZE I PAROWE"
310,"Kotły grzewcze"
313,"Kotły parowe"
32,"TURBINY I INNE MASZYNY NAPĘDOWE"
320,"Turbiny parowe"
321,"Turbiny wodne"
322,"Maszyny parowe tłokowe"
323,"Silniki spalinowe na paliwo lekkie"
324,"Silniki spalinowe na paliwo ciężkie"
325,"Silniki spalinowe na paliwo gazowe"
326,"Silniki wiatrowe"
327,"Koła wodne"
328,"Silniki napędzane sprężonym powietrzem"
33,"MASZYNY ELEKTRYCZNE WIRUJĄCE"
330,"Silniki prądu stałego"
331,"Prądnice prądu stałego"
332,"Silniki elektryczne asynchroniczne, klatkowe, 50 Hz"
333,"Silniki elektryczne asynchroniczne, pierścieniowe, 50 Hz"
334,"Silniki elektryczne synchroniczne 50 Hz"
335,"Prądnice synchroniczne 50 Hz"
336,"Silniki prądu przemiennego pracujące przy innych częstotliwościach"
337,"Silniki komutatorowe prądu przemiennego"
338,"Kompensatory synchroniczne"
339,"Układy napędowe elektryczne skojarzone oraz silniki liniowe"
34,"TURBOZESPOŁY I ZESPOŁY PRĄDOTWÓRCZE ORAZ REAKTORY JĄDROWE"
340,"Turbozespoły parowe"
341,"Turbozespoły wodne"
342,"Zespoły prądotwórcze z silnikami parowymi tłokowymi"
343,"Zespoły prądotwórcze z silnikami spalinowymi na paliwo lekkie"
344,"Zespoły prądotwórcze z silnikami spalinowymi na paliwo ciężkie"
345,"Zespoły prądotwórcze z silnikami spalinowymi na paliwo gazowe"
346,"Zespoły prądotwórcze wiatrowe"
347,"Przetwornice prądu"
348,"Pozostałe turbozespoły i zespoły prądotwórcze"
349,"Reaktory jądrowe"
4,"MASZYNY, URZĄDZENIA I APARATY OGÓLNEGO ZASTOSOWANIA"
41,"OBRABIARKI DO METALI"
410,"Tokarki"
411,"Wiertarki, wytaczarki i wiertarko-frezarki"
412,"Frezarki"
413,"Przecinarki i nakiełczarki"
414,"Strugarki, dłutownice, przeciągarki i przepycharki"
415,"Szlifierki"
416,"Obrabiarki do uzwojeń i uzębień"
417,"Pozostałe obrabiarki do metali, w tym obrabiarki kombinowane, jednostki obróbcze zespołowe, automatyczne linie obróbcze oraz obrabiarki specjalizowane"
42,"MASZYNY DO OBRÓBKI PLASTYCZNEJ METALI I TWORZYW SZTUCZNYCH"
420,"Młoty i kuźniarki"
421,"Prasy do metali i tworzyw sztucznych"
422,"Maszyny do gięcia i prostowania"
423,"Nitownice"
424,"Nożyce do metali i tworzyw sztucznych"
425,"Ciągarki"
426,"Maszyny do skręcania, tkania i wyrobu sprężyn i lin"
427,"Pozostałe maszyny do obróbki plastycznej metali i tworzyw sztucznych"
43,"MASZYNY, URZĄDZENIA I APARATY OGÓLNEGO ZASTOSOWANIA W PRZETWÓRSTWIE ROLNO-SPOŻYWCZYM"
430,"Maszyny, urządzenia i aparaty do rozdrabniania, rozcierania i mieszania surowców oraz mas surowcowych"
431,"Maszyny, urządzenia i aparaty filtracyjne"
432,"Urządzenia i aparaty do pasteryzacji"
433,"Maszyny i urządzenia do dozowania i napełniania butelek, słoi, puszek, tub itp."
434,"Maszyny i urządzenia do zamykania, korkowania, etykietowania itp."
435,"Maszyny i urządzenia do pakowania w kartony i torby oraz maszyny wytwarzające opakowania"
436,"Urządzenia do mycia i czyszczenia opakowań"
